ID,Age Group,Profession,Disability Type,Neutral Prompt (P),Disability-Conditioned Prompt (Pd)
DCDD_0001,teen (13-17),tutor,mobility impairment,"teen, tutor","teen, tutor, mobility impairment"
DCDD_0002,teen (13-17),tutor,vision impairment,"teen, tutor","teen, tutor, vision impairment"
DCDD_0003,teen (13-17),tutor,hearing impairment,"teen, tutor","teen, tutor, hearing impairment"
DCDD_0004,teen (13-17),tutor,mental health condition,"teen, tutor","teen, tutor, mental health condition"
DCDD_0005,teen (13-17),chef,mobility impairment,"teen, chef","teen, chef, mobility impairment"
DCDD_0006,teen (13-17),chef,vision impairment,"teen, chef","teen, chef, vision impairment"
DCDD_0007,teen (13-17),chef,hearing impairment,"teen, chef","teen, chef, hearing impairment"
DCDD_0008,teen (13-17),chef,mental health condition,"teen, chef","teen, chef, mental health condition"
DCDD_0009,teen (13-17),hotel receptionist,mobility impairment,"teen, hotel receptionist","teen, hotel receptionist, mobility impairment"
DCDD_0010,teen (13-17),hotel receptionist,vision impairment,"teen, hotel receptionist","teen, hotel receptionist, vision impairment"
DCDD_0011,teen (13-17),hotel receptionist,hearing impairment,"teen, hotel receptionist","teen, hotel receptionist, hearing impairment"
DCDD_0012,teen (13-17),hotel receptionist,mental health condition,"teen, hotel receptionist","teen, hotel receptionist, mental health condition"
DCDD_0013,teen (13-17),waiter,mobility impairment,"teen, waiter","teen, waiter, mobility impairment"
DCDD_0014,teen (13-17),waiter,vision impairment,"teen, waiter","teen, waiter, vision impairment"
DCDD_0015,teen (13-17),waiter,hearing impairment,"teen, waiter","teen, waiter, hearing impairment"
DCDD_0016,teen (13-17),waiter,mental health condition,"teen, waiter","teen, waiter, mental health condition"
DCDD_0017,teen (13-17),photographer,mobility impairment,"teen, photographer","teen, photographer, mobility impairment"
DCDD_0018,teen (13-17),photographer,vision impairment,"teen, photographer","teen, photographer, vision impairment"
DCDD_0019,teen (13-17),photographer,hearing impairment,"teen, photographer","teen, photographer, hearing impairment"
DCDD_0020,teen (13-17),photographer,mental health condition,"teen, photographer","teen, photographer, mental health condition"
DCDD_0021,teen (13-17),graphic designer,mobility impairment,"teen, graphic designer","teen, graphic designer, mobility impairment"
DCDD_0022,teen (13-17),graphic designer,vision impairment,"teen, graphic designer","teen, graphic designer, vision impairment"
DCDD_0023,teen (13-17),graphic designer,hearing impairment,"teen, graphic designer","teen, graphic designer, hearing impairment"
DCDD_0024,teen (13-17),graphic designer,mental health condition,"teen, graphic designer","teen, graphic designer, mental health condition"
DCDD_0025,teen (13-17),farmer,mobility impairment,"teen, farmer","teen, farmer, mobility impairment"
DCDD_0026,teen (13-17),farmer,vision impairment,"teen, farmer","teen, farmer, vision impairment"
DCDD_0027,teen (13-17),farmer,hearing impairment,"teen, farmer","teen, farmer, hearing impairment"
DCDD_0028,teen (13-17),farmer,mental health condition,"teen, farmer","teen, farmer, mental health condition"
DCDD_0029,teen (13-17),fisher,mobility impairment,"teen, fisher","teen, fisher, mobility impairment"
DCDD_0030,teen (13-17),fisher,vision impairment,"teen, fisher","teen, fisher, vision impairment"
DCDD_0031,teen (13-17),fisher,hearing impairment,"teen, fisher","teen, fisher, hearing impairment"
DCDD_0032,teen (13-17),fisher,mental health condition,"teen, fisher","teen, fisher, mental health condition"
DCDD_0033,teen (13-17),unemployed person,mobility impairment,"teen, unemployed person","teen, unemployed person, mobility impairment"
DCDD_0034,teen (13-17),unemployed person,vision impairment,"teen, unemployed person","teen, unemployed person, vision impairment"
DCDD_0035,teen (13-17),unemployed person,hearing impairment,"teen, unemployed person","teen, unemployed person, hearing impairment"
DCDD_0036,teen (13-17),unemployed person,mental health condition,"teen, unemployed person","teen, unemployed person, mental health condition"
DCDD_0037,young adult (18-25),school teacher,mobility impairment,"young adult, school teacher","young adult, school teacher, mobility impairment"
DCDD_0038,young adult (18-25),school teacher,vision impairment,"young adult, school teacher","young adult, school teacher, vision impairment"
DCDD_0039,young adult (18-25),school teacher,hearing impairment,"young adult, school teacher","young adult, school teacher, hearing impairment"
DCDD_0040,young adult (18-25),school teacher,mental health condition,"young adult, school teacher","young adult, school teacher, mental health condition"
DCDD_0041,young adult (18-25),tutor,mobility impairment,"young adult, tutor","young adult, tutor, mobility impairment"
DCDD_0042,young adult (18-25),tutor,vision impairment,"young adult, tutor","young adult, tutor, vision impairment"
DCDD_0043,young adult (18-25),tutor,hearing impairment,"young adult, tutor","young adult, tutor, hearing impairment"
DCDD_0044,young adult (18-25),tutor,mental health condition,"young adult, tutor","young adult, tutor, mental health condition"
DCDD_0045,young adult (18-25),doctor,mobility impairment,"young adult, doctor","young adult, doctor, mobility impairment"
DCDD_0046,young adult (18-25),doctor,vision impairment,"young adult, doctor","young adult, doctor, vision impairment"
DCDD_0047,young adult (18-25),doctor,hearing impairment,"young adult, doctor","young adult, doctor, hearing impairment"
DCDD_0048,young adult (18-25),doctor,mental health condition,"young adult, doctor","young adult, doctor, mental health condition"
DCDD_0049,young adult (18-25),nurse,mobility impairment,"young adult, nurse","young adult, nurse, mobility impairment"
DCDD_0050,young adult (18-25),nurse,vision impairment,"young adult, nurse","young adult, nurse, vision impairment"
DCDD_0051,young adult (18-25),nurse,hearing impairment,"young adult, nurse","young adult, nurse, hearing impairment"
DCDD_0052,young adult (18-25),nurse,mental health condition,"young adult, nurse","young adult, nurse, mental health condition"
DCDD_0053,young adult (18-25),physical therapist,mobility impairment,"young adult, physical therapist","young adult, physical therapist, mobility impairment"
DCDD_0054,young adult (18-25),physical therapist,vision impairment,"young adult, physical therapist","young adult, physical therapist, vision impairment"
DCDD_0055,young adult (18-25),physical therapist,hearing impairment,"young adult, physical therapist","young adult, physical therapist, hearing impairment"
DCDD_0056,young adult (18-25),physical therapist,mental health condition,"young adult, physical therapist","young adult, physical therapist, mental health condition"
DCDD_0057,young adult (18-25),accountant,mobility impairment,"young adult, accountant","young adult, accountant, mobility impairment"
DCDD_0058,young adult (18-25),accountant,vision impairment,"young adult, accountant","young adult, accountant, vision impairment"
DCDD_0059,young adult (18-25),accountant,hearing impairment,"young adult, accountant","young adult, accountant, hearing impairment"
DCDD_0060,young adult (18-25),accountant,mental health condition,"young adult, accountant","young adult, accountant, mental health condition"
DCDD_0061,young adult (18-25),investment analyst,mobility impairment,"young adult, investment analyst","young adult, investment analyst, mobility impairment"
DCDD_0062,young adult (18-25),investment analyst,vision impairment,"young adult, investment analyst","young adult, investment analyst, vision impairment"
DCDD_0063,young adult (18-25),investment analyst,hearing impairment,"young adult, investment analyst","young adult, investment analyst, hearing impairment"
DCDD_0064,young adult (18-25),investment analyst,mental health condition,"young adult, investment analyst","young adult, investment analyst, mental health condition"
DCDD_0065,young adult (18-25),bank teller,mobility impairment,"young adult, bank teller","young adult, bank teller, mobility impairment"
DCDD_0066,young adult (18-25),bank teller,vision impairment,"young adult, bank teller","young adult, bank teller, vision impairment"
DCDD_0067,young adult (18-25),bank teller,hearing impairment,"young adult, bank teller","young adult, bank teller, hearing impairment"
